Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,BoilGravityMod
64,20.82,1.069,1.014,7.22,60.63,22.31,28.39,60,70.0,1.5,Specific Gravity,All Grain,1.0,19.44,1.112
65,18.93,1.074,1.017,7.38,48.66,15.23,25.02,60,70.0,1.25,Specific Gravity,All Grain,0.35,21.11,1.036
66,3.79,1.126,1.002,16.33,0.0,5.1,1.89,60,35.0,,Specific Gravity,extract,,,1.069
67,23.0,1.041,1.008,4.37,47.18,6.97,29.0,60,70.0,,Specific Gravity,BIAB,,20.0,1.019
68,18.93,1.067,1.018,6.4,43.35,12.82,23.47,60,72.0,,Specific Gravity,All Grain,0.75,19.44,1.3408930163447252
69,492.1,1.053,1.009,5.71,48.77,4.11,435.32,60,80.0,1.25,Specific Gravity,All Grain,,20.0,1.3408930163447252
70,18.93,1.069,1.016,6.93,88.97,12.82,26.5,60,70.0,1.5,Specific Gravity,All Grain,,20.0,1.031
71,11.36,1.06,1.012,6.31,68.9,5.59,9.46,60,60.0,,Specific Gravity,Partial Mash,,21.11,1.037
72,23.0,1.056,1.015,5.45,22.73,17.07,28.0,60,70.0,3.3,Specific Gravity,All Grain,1.0,17.0,1.065
73,40.0,1.071,1.02,6.68,41.1,43.36,50.0,150,68.0,3.0,Specific Gravity,All Grain,0.75,18.0,1.052
74,20.82,1.057,1.01,6.23,36.92,5.94,28.39,60,75.0,,Specific Gravity,BIAB,,,1.043
75,25.0,1.069,1.012,7.4,90.72,7.82,32.0,60,72.0,2.9,Specific Gravity,All Grain,0.75,20.0,11.7
76,3.79,1.062,1.011,6.68,30.93,4.08,7.57,60,70.0,,Specific Gravity,BIAB,0.5,22.22,1.033
77,46.0,1.033,1.009,3.12,30.44,9.7,28.5,60,35.0,,Specific Gravity,BIAB,0.5,18.0,1.073
78,30.0,1.062,1.011,6.65,44.4,10.6,37.4,60,65.0,2.3,Specific Gravity,All Grain,,,1.048
79,85.0,1.052,1.01,5.48,29.39,18.17,93.0,60,80.0,3.0,Specific Gravity,All Grain,,,1.035
80,36.0,1.067,1.013,7.15,50.79,11.19,44.0,75,35.0,,Specific Gravity,extract,,20.0,1.033
81,18.0,1.0590000000000002,1.012,6.09,44.19,8.03,23.0,60,75.0,3.3,Specific Gravity,All Grain,,20.0,1.037
82,18.93,1.071,1.019,6.94,76.92,9.19,23.66,60,35.0,,Specific Gravity,extract,,22.22,1.04
83,18.93,1.062,1.016,6.03,40.05,37.02,22.71,60,80.0,,Specific Gravity,extract,,16.67,1.048
84,12.3,1.051,1.009,5.53,60.33,5.0,17.03,60,70.0,1.5,Specific Gravity,All Grain,0.75,18.89,1.04
85,52.05,1.083,1.017,8.57,101.4,37.49,59.62,90,75.0,1.15,Specific Gravity,All Grain,1.0,20.0,1.044
86,20.82,1.077,1.019,7.53,62.32,8.19,28.39,60,75.0,,Specific Gravity,All Grain,,,1.036
87,30.0,1.042,1.01,4.22,19.86,3.84,8.0,40,70.0,,Specific Gravity,Partial Mash,,,1.056
88,37.85,1.062,1.014,6.3,18.72,8.4,45.42,60,71.0,1.25,Specific Gravity,All Grain,1.0,18.0,1.062
89,21.2,1.099,1.014,11.16,280.03,10.3,34.07,90,60.0,1.5,Specific Gravity,All Grain,0.5,21.11,1.131
90,20.82,1.034,1.006,3.68,13.29,2.68,26.42,60,80.0,,Specific Gravity,BIAB,1.5,18.89,1.08
91,18.0,1.057,1.013,5.98,121.67,5.22,22.0,90,73.0,2.5,Specific Gravity,All Grain,0.35,19.0,1.0490000000000002
92,24.61,1.074,1.016,7.66,48.76,5.01,28.39,60,55.0,1.5,Specific Gravity,All Grain,1.25,21.11,1.079
93,20.82,1.055,1.015,5.29,44.94,13.4,28.39,60,70.0,1.33,Specific Gravity,All Grain,,21.11,1.041
94,18.0,1.045,1.011,4.41,41.96,6.52,19.0,60,68.0,,Specific Gravity,BIAB,,21.0,1.058
95,4.16,1.0590000000000002,1.012,6.19,30.08,15.87,6.62,60,70.0,,Specific Gravity,BIAB,0.75,16.67,1.053
96,4.16,1.069,1.018,6.66,73.88,6.19,5.13,90,75.0,1.33,Specific Gravity,All Grain,0.75,18.89,1.05
97,11.36,1.057,1.014,5.62,40.54,7.1,15.14,60,70.0,1.5,Specific Gravity,All Grain,,,1.0490000000000002
98,23.0,1.051,1.008,5.58,48.19,14.43,33.0,70,75.0,3.6,Specific Gravity,All Grain,0.75,20.0,1.089
99,20.82,1.074,1.019,7.29,60.92,11.19,26.5,60,80.0,1.5,Specific Gravity,All Grain,0.5,18.33,1.042
100,20.0,1.055,1.013,5.61,21.96,11.45,28.0,60,75.0,2.5,Specific Gravity,All Grain,,,1.079
101,3.79,1.0590000000000002,1.011,6.27,28.05,5.08,6.62,60,60.0,2.0,Specific Gravity,All Grain,0.75,23.89,1.045
102,27.63,1.082,1.011,9.96,307.18,5.62,35.2,90,70.0,1.77,Specific Gravity,All Grain,1.0,,1.048
103,58.0,1.061,1.017,5.77,25.59,14.98,78.0,60,74.0,2.5,Specific Gravity,All Grain,0.75,17.5,9.1
104,20.82,1.046,1.009,4.94,71.64,3.75,28.39,60,60.0,1.5,Specific Gravity,All Grain,,,1.04
105,22.0,15.3446,3.93447,6.19,53.85,50.0,30.0,60,75.0,3.0,Plato,All Grain,,,1.086
106,18.93,1.055,1.011,5.75,12.06,7.46,11.36,60,35.0,,Specific Gravity,extract,0.35,21.11,1.056
107,7.57,1.111,1.031,10.49,67.17,8.2,14.42,75,75.0,1.5,Specific Gravity,All Grain,0.5,,1.044
108,50.0,1.075,1.017,7.59,90.15,8.25,60.0,90,80.0,3.0,Specific Gravity,All Grain,,20.0,1.3408930163447252
109,21.58,1.065,1.006,7.71,40.75,3.46,28.39,90,80.0,,Specific Gravity,Partial Mash,,15.56,1.055
110,18.93,1.069,1.019,6.53,81.33,40.0,24.61,70,70.0,,Specific Gravity,BIAB,,,1.058
111,20.82,1.062,1.011,6.62,54.98,5.53,24.98,60,70.0,1.25,Specific Gravity,All Grain,,,1.031
112,45.42,1.072,1.014,7.63,0.0,5.85,51.1,90,70.0,1.25,Specific Gravity,All Grain,1.25,20.0,1.051
113,18.93,1.067,1.018,6.42,71.26,6.11,22.71,60,70.0,2.7,Specific Gravity,All Grain,,20.56,1.036
114,25.36,1.053,1.014,5.02,35.36,25.24,34.07,90,72.0,1.5,Specific Gravity,All Grain,1.0,20.0,1.038
115,23.09,1.08,1.011,9.52,43.48,8.11,24.61,60,70.0,1.5,Specific Gravity,All Grain,1.5,21.11,1.0490000000000002
116,15.14,1.047,1.008,5.15,18.67,5.32,20.82,60,75.0,1.5,Specific Gravity,All Grain,,22.22,1.043
117,21.0,1.048,1.008,5.27,0.0,6.18,11.0,60,35.0,,Specific Gravity,extract,,,1.043
118,20.82,1.039,1.007,4.11,31.8,11.05,24.98,60,70.0,1.25,Specific Gravity,All Grain,0.0,18.89,1.039
119,10.41,1.104,1.019,11.11,105.1,29.15,13.25,60,60.0,,Specific Gravity,BIAB,1.25,18.33,1.043
120,24.61,1.072,1.017,7.26,109.5,8.28,30.28,75,75.0,1.5,Specific Gravity,All Grain,,21.11,1.054
121,20.82,1.056,1.012,5.7,66.62,6.03,11.36,60,75.0,,Specific Gravity,extract,,,1.046
122,37.85,1.045,1.011,4.51,38.86,7.38,49.21,60,70.0,1.31,Specific Gravity,All Grain,,,1.0490000000000002
123,22.71,1.067,1.016,6.72,84.21,6.47,26.5,60,85.0,1.25,Specific Gravity,All Grain,0.75,20.0,1.03
124,21.0,1.1,1.023,10.07,103.16,50.0,35.0,120,73.0,3.5,Specific Gravity,All Grain,0.75,20.0,1.0590000000000002
125,20.82,1.07,1.016,7.02,57.91,24.13,28.39,90,73.0,1.25,Specific Gravity,All Grain,,,1.046
126,20.82,1.087,1.022,8.54,69.4,9.81,26.5,60,75.0,,Specific Gravity,All Grain,,,1.054
127,104.1,1.07,1.013,7.46,48.52,4.56,113.56,60,35.0,,Specific Gravity,extract,,,1.044
128,3.79,1.074,1.018,7.24,88.02,8.2,4.73,60,35.0,1.5,Specific Gravity,All Grain,0.35,20.0,1.05
129,25.0,1.05,1.012,5.06,15.29,3.9,32.0,60,60.0,,Specific Gravity,BIAB,,20.0,1.111
130,24.0,1.097,1.019,10.34,108.31,6.56,28.4,90,70.0,2.9,Specific Gravity,All Grain,1.0,16.7,1.039
131,7.0,1.06,1.011,6.41,44.34,10.15,7.0,60,70.0,,Specific Gravity,BIAB,0.75,22.0,1.087
132,18.93,1.044,1.012,4.31,27.07,11.92,9.46,60,35.0,,Specific Gravity,extract,,,1.051
133,19.0,1.083,1.019,8.43,82.17,12.45,29.6,60,70.0,,Specific Gravity,BIAB,0.35,19.0,1.077
134,41.64,1.058,1.014,5.87,54.71,10.61,47.32,60,70.0,1.75,Specific Gravity,All Grain,1.25,17.78,1.04
135,75.71,1.067,1.017,6.61,206.25,7.49,94.64,60,70.0,1.75,Specific Gravity,All Grain,1.0,21.11,1.043
136,28.0,1.046,1.011,4.51,26.14,18.49,38.0,70,79.0,3.0,Specific Gravity,All Grain,,,1.079
137,17.0,1.0590000000000002,1.015,5.8,31.87,15.57,21.0,60,70.0,3.0,Specific Gravity,All Grain,,,1.035
138,21.0,1.09,1.02,9.12,0.0,50.0,28.5,60,75.0,2.2,Specific Gravity,All Grain,,,1.041
139,11.0,1.057,1.011,6.07,53.58,7.14,13.0,60,70.0,4.0,Specific Gravity,All Grain,,19.0,1.2288499335989376
140,49.21,1.053,1.013,5.32,21.23,4.76,53.0,90,75.0,,Specific Gravity,All Grain,,,1.031
141,20.82,1.043,1.009,4.36,66.77,4.22,24.61,75,70.0,,Specific Gravity,BIAB,0.75,20.0,1.05
142,3.03,1.032,1.008,3.11,25.59,11.4,28.39,60,75.0,,Specific Gravity,All Grain,,17.78,1.06
143,38.8,1.055,1.012,5.67,47.0,7.17,45.42,60,70.0,1.25,Specific Gravity,All Grain,,,1.037
144,25.0,1.051,1.012,5.17,77.29,8.31,32.0,60,62.0,3.0,Specific Gravity,All Grain,,19.0,1.034
145,24.0,1.0490000000000002,1.008,5.42,12.59,11.5,27.0,60,75.0,3.0,Specific Gravity,All Grain,0.35,20.0,1.045
146,25.0,1.051,1.012,5.1,27.53,32.59,28.5,60,75.0,3.0,Specific Gravity,All Grain,,,1.05
147,15.14,1.056,1.01,6.03,30.01,14.49,19.87,60,80.0,,Specific Gravity,BIAB,0.5,17.22,1.125
148,20.82,1.06,1.016,5.86,61.96,14.64,11.36,60,35.0,,Specific Gravity,extract,,,1.3286333398552141
149,22.71,1.046,1.008,5.06,40.75,5.24,26.5,60,73.0,,Specific Gravity,BIAB,1.25,18.33,1.036
150,22.0,1.0659999999999998,1.013,7.0,32.61,7.77,30.0,60,70.0,,Specific Gravity,All Grain,,20.0,1.079
151,42.0,1.053,1.01,5.67,21.11,4.14,46.0,60,80.0,3.5,Specific Gravity,All Grain,,25.0,1.042
152,20.82,1.069,1.015,7.11,55.26,6.82,28.39,60,70.0,1.5,Specific Gravity,All Grain,,20.0,1.058
153,20.82,1.057,1.013,5.76,26.83,3.89,28.39,60,70.0,1.5,Specific Gravity,All Grain,,18.33,1.053
154,18.93,1.074,1.018,7.28,114.11,8.76,9.46,60,35.0,,Specific Gravity,extract,0.75,20.0,1.038
155,18.93,1.0659999999999998,1.012,7.1,79.29,8.12,11.36,60,35.0,,Specific Gravity,extract,0.35,20.0,1.047
156,18.93,1.07,1.021,6.48,52.48,6.63,28.39,60,70.0,1.25,Specific Gravity,All Grain,,,1.038
157,18.93,1.071,1.022,6.38,56.56,38.44,11.36,60,35.0,,Specific Gravity,extract,,20.0,1.044
158,10.0,1.052,1.011,5.41,86.65,9.76,13.0,60,72.0,3.0,Specific Gravity,All Grain,0.35,22.0,1.0490000000000002
159,18.93,1.071,1.014,7.56,85.24,6.54,11.36,60,50.0,,Specific Gravity,extract,,,7.4
160,21.0,1.05,1.012,4.88,36.15,7.81,28.5,60,68.0,,Specific Gravity,BIAB,0.5,18.0,1.095
161,53.0,1.06,1.012,6.34,25.76,5.49,64.0,60,78.0,3.0,Specific Gravity,All Grain,,20.0,1.048
162,14.0,1.044,1.01,4.51,37.37,11.7,21.0,60,45.0,3.0,Specific Gravity,All Grain,0.75,27.0,1.046
163,18.0,1.035,1.008,3.59,60.55,7.93,28.5,60,35.0,3.33,Specific Gravity,All Grain,,21.0,1.062
164,9.0,1.053,1.01,5.54,40.03,7.78,10.5,60,70.0,2.5,Specific Gravity,All Grain,,18.0,1.032
165,20.82,1.086,1.02,8.61,13.8,6.4,28.39,60,60.0,,Specific Gravity,All Grain,,,1.044
166,49.21,1.05,1.011,5.05,37.14,4.05,54.89,60,85.0,1.5,Specific Gravity,All Grain,0.5,21.11,1.025
167,22.71,1.042,1.008,4.45,53.73,2.78,26.5,60,70.0,1.25,Specific Gravity,All Grain,0.5,18.33,1.053
168,20.82,1.0659999999999998,1.015,6.76,64.26,34.94,28.39,60,80.0,1.25,Specific Gravity,All Grain,0.5,21.11,1.05
169,9.46,1.057,1.014,5.66,55.69,5.71,5.68,60,35.0,,Specific Gravity,extract,0.35,18.33,1.035
170,10.0,1.052,1.013,5.11,133.07,12.47,13.0,60,60.0,,Specific Gravity,BIAB,,,1.055
171,22.71,1.071,1.013,7.54,88.06,4.07,26.5,60,35.0,,Specific Gravity,extract,,20.0,1.042
172,2.0,1.043,1.011,4.26,0.0,2.93,2.5,60,70.0,,Specific Gravity,BIAB,,,1.0490000000000002
173,900.0,1.069,1.019,6.5,66.45,10.05,1000.0,60,35.0,3.0,Specific Gravity,All Grain,,20.0,1.098
174,43.53,1.077,1.024,6.96,75.02,38.06,49.21,60,70.0,1.25,Specific Gravity,All Grain,1.25,18.89,1.044
175,7.0,1.053,1.012,5.39,30.73,4.21,10.0,60,50.0,,Specific Gravity,BIAB,,,1.046
176,21.0,1.054,1.016,4.99,35.81,3.67,28.5,60,70.0,,Specific Gravity,All Grain,0.35,20.0,1.037
177,22.71,1.064,1.018,6.04,32.12,24.28,30.28,60,75.0,,Specific Gravity,BIAB,1.0,20.56,1.06
178,18.93,1.033,1.008,3.28,138.5,2.53,30.28,60,75.0,,Specific Gravity,BIAB,,,1.048
179,19.87,1.075,1.014,7.98,77.5,50.0,11.36,60,68.0,,Specific Gravity,extract,1.0,22.22,1.044
180,28.39,1.055,1.009,6.04,2.34,4.64,35.96,90,70.0,1.25,Specific Gravity,All Grain,,18.33,1.037
181,22.71,1.085,1.021,8.4,85.83,8.09,24.61,60,45.0,,Specific Gravity,extract,1.0,19.44,1.063
182,40.69,1.065,1.011,7.13,76.5,9.35,47.32,60,80.0,1.33,Specific Gravity,All Grain,,20.56,1.038
183,20.82,1.038,1.004,4.47,16.54,3.42,28.39,90,53.0,,Specific Gravity,All Grain,0.75,20.0,1.3408930163447252
184,25.0,1.05,1.01,5.27,21.38,5.51,32.0,90,75.0,,Specific Gravity,BIAB,0.35,23.0,1.037
185,18.93,1.07,1.02,6.6,109.25,7.97,11.36,60,35.0,,Specific Gravity,extract,,,1.043
186,41.64,1.058,1.014,5.84,62.8,8.12,53.0,60,80.0,1.5,Specific Gravity,All Grain,0.5,20.0,1.048
187,21.0,1.045,1.006,5.03,30.81,5.28,25.3,60,62.0,2.7,Specific Gravity,All Grain,0.75,22.0,1.037
188,20.82,1.048,1.011,4.87,26.47,6.28,26.5,60,68.0,1.75,Specific Gravity,All Grain,,20.0,1.043
189,20.5,1.06,1.013,6.23,97.68,7.94,20.5,90,65.0,,Specific Gravity,Partial Mash,0.75,20.0,1.04
190,24.5,1.052,1.011,5.34,30.66,5.29,29.2,60,65.0,2.4,Specific Gravity,All Grain,0.75,19.0,1.058
191,41.64,1.064,1.021,5.73,41.96,9.66,53.0,90,80.0,1.5,Specific Gravity,All Grain,0.35,18.33,1.044
192,20.82,1.06,1.015,5.92,68.54,9.16,15.14,60,35.0,,Specific Gravity,extract,,21.11,1.042
193,17.0,1.0490000000000002,1.011,4.96,36.03,9.08,20.0,60,70.0,3.0,Specific Gravity,All Grain,,18.0,1.055
194,22.71,1.0590000000000002,1.008,6.69,27.11,12.53,28.39,60,70.0,1.25,Specific Gravity,All Grain,,20.0,1.048
195,18.93,1.044,1.009,4.63,20.78,3.54,23.66,60,75.0,1.4,Specific Gravity,All Grain,,,1.033
196,20.82,1.096,1.026,9.16,33.18,40.0,18.93,60,70.0,,Specific Gravity,extract,,,1.065
197,20.82,1.047,1.017,3.86,34.67,34.24,22.71,60,35.0,,Specific Gravity,extract,,,1.052
198,15.14,1.022,1.006,2.21,59.58,6.65,17.03,60,35.0,,Specific Gravity,BIAB,,,1.048
199,18.9,1.069,1.013,7.32,70.26,7.28,28.4,60,70.0,3.1,Specific Gravity,All Grain,,21.0,1.04
200,20.82,1.065,1.014,6.63,40.51,4.56,28.39,60,75.0,1.5,Specific Gravity,All Grain,0.75,20.56,1.055
201,46.0,13.9618,3.4853,5.65,37.62,4.23,55.0,90,75.0,3.3,Plato,All Grain,1.0,18.0,1.05
202,18.93,1.063,1.011,6.72,80.87,7.76,22.71,60,65.0,,Specific Gravity,BIAB,0.5,18.89,1.05
203,59.62,1.063,1.014,6.46,25.38,10.88,67.19,90,75.0,1.5,Specific Gravity,All Grain,1.0,20.0,1.061
204,23.0,1.064,1.015,6.35,30.5,5.94,28.5,60,75.0,3.0,Specific Gravity,All Grain,,,1.047
205,20.82,1.075,1.019,7.34,121.9,4.51,28.39,60,68.0,1.66,Specific Gravity,All Grain,1.25,18.33,1.035
206,32.0,1.04,1.007,4.34,22.19,3.57,36.0,60,75.0,4.0,Specific Gravity,All Grain,0.75,18.0,1.085
207,18.93,1.0490000000000002,1.012,4.82,0.0,5.89,18.93,60,75.0,,Specific Gravity,extract,,,1.044
208,21.0,1.041,1.007,4.37,38.47,9.44,28.5,60,35.0,3.0,Specific Gravity,All Grain,0.35,18.0,1.089
209,11.36,1.072,1.018,7.06,20.23,15.6,3.79,60,35.0,,Specific Gravity,extract,0.35,20.56,1.056
210,7.57,1.058,1.016,5.47,107.21,3.98,15.14,60,70.0,1.5,Specific Gravity,All Grain,,,1.053
211,270.0,1.07,1.013,7.5,18.76,5.61,300.0,60,72.0,3.0,Specific Gravity,All Grain,1.0,23.0,1.05
212,20.82,1.067,1.016,6.74,69.04,6.4,24.61,60,84.0,,Specific Gravity,BIAB,0.5,20.0,1.04
213,18.93,1.054,1.014,5.34,22.51,15.44,24.61,60,70.0,,Specific Gravity,BIAB,,18.33,1.053
214,18.93,1.0759999999999998,1.019,7.51,0.0,5.1,18.93,60,75.0,,Specific Gravity,Partial Mash,,,1.039
215,19.87,1.058,1.011,6.31,42.67,8.02,24.61,60,72.0,,Specific Gravity,Partial Mash,1.0,18.33,1.06
216,20.82,1.067,1.007,7.77,46.08,18.17,28.39,60,35.0,,Specific Gravity,BIAB,0.35,23.33,1.037
217,25.0,12.9812,2.55471,5.58,40.76,9.61,28.0,60,70.0,1.5,Plato,All Grain,0.35,18.0,1.035
218,18.93,1.0490000000000002,1.009,5.31,22.88,3.46,28.39,90,75.0,1.5,Specific Gravity,All Grain,0.75,18.89,1.039
219,24.61,1.0590000000000002,1.017,5.46,0.0,35.91,30.28,60,70.0,1.5,Specific Gravity,All Grain,,22.22,1.038
220,50.0,1.0759999999999998,1.019,7.46,87.95,10.9,50.0,90,80.0,3.0,Specific Gravity,All Grain,0.75,20.0,1.0590000000000002
221,50.0,1.073,1.012,7.95,46.3,4.61,60.0,60,75.0,,Specific Gravity,All Grain,0.35,20.0,1.038
222,41.64,1.057,1.017,5.25,45.3,6.39,49.21,90,65.0,1.3,Specific Gravity,All Grain,1.25,21.11,1.129
