,Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,Style,BoilGravityMod
51,51,70.0,1.034,1.006,3.77,50.01,6.84,74.5,60,82.0,3.5,Specific Gravity,All Grain,,20.0,American IPA,1.032
52,52,21.0,1.065,1.019,5.97,68.93,8.09,25.0,60,83.0,,Specific Gravity,BIAB,,17.0,American IPA,1.054
53,53,416.4,1.063,1.016,6.16,44.84,4.49,473.18,60,70.0,,Specific Gravity,All Grain,,20.0,Saison,1.055
54,54,20.82,1.116,1.027,11.65,187.4,18.7,26.5,90,70.0,,Specific Gravity,All Grain,,,Imperial IPA,1.062
55,55,20.82,1.072,1.024,6.29,63.78,39.05,27.44,60,75.0,1.5,Specific Gravity,All Grain,0.5,21.11,American Stout,1.0490000000000002
56,56,19.0,1.051,1.012,5.22,27.87,3.76,23.0,60,65.0,3.0,Specific Gravity,All Grain,,19.0,Blonde Ale,1.042
57,57,23.0,1.05,1.013,4.87,52.36,5.81,27.0,60,75.0,3.48,Specific Gravity,All Grain,0.75,20.0,American Pale Ale,1.043
58,58,28.0,1.056,1.011,5.92,44.8,5.97,34.0,60,70.0,2.5,Specific Gravity,All Grain,0.75,19.0,American Pale Ale,1.046
59,59,50.0,15.7113,2.93919,6.91,122.85,7.69,60.0,60,74.0,3.0,Plato,All Grain,,20.0,American IPA,13.2
60,60,41.64,1.094,1.021,9.67,0.0,7.36,46.18,60,75.0,1.5,Specific Gravity,All Grain,1.75,,American IPA,1.085
61,61,19.87,1.056,1.011,5.82,61.35,5.1,23.66,60,75.0,,Specific Gravity,BIAB,0.35,18.33,American Pale Ale,1.047
62,62,7.57,1.057,1.013,5.71,50.79,10.9,17.03,70,70.0,,Specific Gravity,BIAB,,,American Amber Ale,1.025
63,63,20.82,1.052,1.011,5.38,54.86,5.19,15.14,60,75.0,,Specific Gravity,Partial Mash,,20.0,American Pale Ale,1.072
64,64,18.93,1.067,1.013,7.14,115.14,5.33,11.36,60,35.0,,Specific Gravity,extract,0.35,25.0,American IPA,1.112
65,65,24.61,1.051,1.007,5.91,15.89,3.2,30.28,90,70.0,1.63,Specific Gravity,All Grain,0.75,21.11,Saison,1.036
66,66,22.71,1.086,1.022,8.4,252.31,6.87,28.39,60,70.0,1.25,Specific Gravity,All Grain,,,American IPA,1.069
67,67,20.82,1.031,1.007,3.13,55.71,10.52,34.07,60,35.0,1.5,Specific Gravity,All Grain,0.35,,American IPA,1.019
68,68,18.93,1.057,1.015,5.53,76.42,12.07,11.36,60,60.0,,Specific Gravity,BIAB,,,American IPA,1.051
69,69,18.93,1.064,1.02,5.75,136.68,6.57,24.61,60,62.5,,Specific Gravity,All Grain,,,American IPA,1.051
70,70,22.71,1.039,1.007,4.22,23.2,6.67,28.39,75,35.0,1.47,Specific Gravity,All Grain,,,American Pale Ale,1.031
71,71,9.0,1.053,1.009,5.84,56.19,5.75,13.0,60,70.0,,Specific Gravity,BIAB,0.35,22.0,American IPA,1.037
72,72,39.75,1.087,1.023,8.43,44.83,8.56,53.0,70,81.0,,Specific Gravity,BIAB,2.0,18.33,American IPA,1.065
73,73,15.14,1.065,1.016,6.35,64.41,9.53,18.93,60,75.0,1.5,Specific Gravity,All Grain,,,American IPA,1.052
74,74,30.0,1.06,1.012,6.36,65.79,10.55,42.0,60,80.0,2.7,Specific Gravity,All Grain,,,American IPA,1.043
75,75,20.82,16.6602,3.5754900000000003,7.12,60.26,6.03,30.28,75,65.0,1.25,Plato,All Grain,0.35,20.0,American IPA,11.7
76,76,21.0,1.054,1.012,5.41,41.31,7.01,34.2,60,80.0,3.0,Specific Gravity,All Grain,,,American Pale Ale,1.033
77,77,22.71,1.091,1.022,9.01,88.07,42.2,28.39,60,75.0,1.5,Specific Gravity,All Grain,,17.22,American Stout,1.073
78,78,20.82,1.0659999999999998,1.017,6.41,27.52,12.81,28.39,60,65.0,,Specific Gravity,BIAB,0.75,20.0,American Amber Ale,1.048
79,79,20.82,1.048,1.009,5.06,36.32,6.07,28.39,60,70.0,1.5,Specific Gravity,All Grain,,20.56,American Pale Ale,1.035
80,80,30.0,1.039,1.005,4.4,22.35,5.99,35.0,60,35.0,,Specific Gravity,extract,0.75,19.0,Witbier,1.033
81,81,7.57,1.056,1.011,5.84,37.45,4.19,11.36,60,60.0,1.5,Specific Gravity,All Grain,0.35,19.44,American Pale Ale,1.037
82,82,29.4,1.055,1.009,5.98,62.1,10.3,36.0,90,75.0,4.52,Specific Gravity,All Grain,0.35,25.0,American Pale Ale,1.04
83,83,20.82,1.057,1.013,5.79,72.37,5.68,24.61,60,50.0,1.5,Specific Gravity,All Grain,,18.89,American IPA,1.048
84,84,20.82,1.05,1.008,5.5,24.08,4.61,26.5,60,70.0,1.25,Specific Gravity,All Grain,,20.0,Blonde Ale,1.04
85,85,23.0,1.055,1.011,5.78,24.12,5.35,29.0,60,72.0,3.34,Specific Gravity,All Grain,,15.0,American Pale Ale,1.044
86,86,20.82,1.053,1.015,4.97,36.36,5.18,30.28,60,75.0,,Specific Gravity,BIAB,0.75,20.0,American Pale Ale,1.036
87,87,22.71,1.069,1.018,6.74,24.68,20.22,28.39,60,70.0,,Specific Gravity,All Grain,,,American Brown Ale,1.056
88,88,20.0,1.078,1.017,7.98,102.76,8.85,25.0,60,75.0,2.5,Specific Gravity,All Grain,,20.0,Imperial IPA,1.062
89,89,20.82,1.071,1.018,6.94,40.35,5.46,11.36,90,55.0,,Specific Gravity,Partial Mash,0.35,21.11,Saison,1.131
90,90,19.87,1.046,1.011,4.56,87.79,3.87,11.36,60,25.0,,Specific Gravity,Partial Mash,,21.11,American IPA,1.08
91,91,20.82,1.067,1.017,6.61,58.49,12.5,28.39,60,35.0,,Specific Gravity,BIAB,,,American IPA,1.0490000000000002
92,92,18.93,1.047,1.011,4.75,42.24,5.22,11.36,60,35.0,,Specific Gravity,extract,0.35,22.22,American Pale Ale,1.079
93,93,22.0,1.06,1.016,5.8,59.81,7.72,32.0,60,70.0,3.0,Specific Gravity,All Grain,,20.0,American IPA,1.041
94,94,9.46,1.053,1.01,5.71,56.94,7.07,8.52,60,35.0,,Specific Gravity,extract,,,American IPA,1.058
95,95,41.64,1.068,1.02,6.25,59.54,13.53,53.0,60,70.0,1.33,Specific Gravity,All Grain,0.75,20.0,American Amber Ale,1.053
96,96,25.0,1.057,1.016,5.35,18.63,16.32,28.5,60,75.0,3.1,Specific Gravity,All Grain,,,Irish Red Ale,1.05
97,97,18.93,1.064,1.016,6.31,103.0,5.83,24.61,60,75.0,,Specific Gravity,BIAB,0.5,21.11,American Pale Ale,1.0490000000000002
98,98,18.93,1.053,1.013,5.23,60.78,40.0,11.36,60,60.0,,Specific Gravity,BIAB,,21.11,American IPA,1.089
99,99,18.93,1.051,1.012,5.1,23.01,40.17,22.71,60,70.0,,Specific Gravity,BIAB,,16.67,American Stout,1.042
100,100,19.87,1.06,1.016,5.84,70.8,19.45,15.14,60,35.0,,Specific Gravity,extract,,,American Amber Ale,1.079
101,101,20.82,1.061,1.011,6.56,87.45,11.74,28.39,60,70.0,1.5,Specific Gravity,All Grain,0.35,22.22,American Amber Ale,1.045
102,102,25.0,1.042,1.01,4.13,19.48,9.36,22.0,60,70.0,,Specific Gravity,Partial Mash,0.5,16.0,Irish Red Ale,1.048
103,103,18.93,12.5822,1.43563,5.94,30.32,4.97,26.5,60,66.0,,Plato,All Grain,0.75,23.89,Saison,9.1
104,104,20.82,1.05,1.009,5.44,24.4,4.04,26.5,60,75.0,,Specific Gravity,BIAB,0.75,20.0,Blonde Ale,1.04
105,105,20.82,1.047,1.011,4.75,57.82,3.89,11.36,60,70.0,,Specific Gravity,Partial Mash,,,American IPA,1.086
106,106,9.46,1.067,1.011,7.35,55.45,9.37,11.36,60,69.0,1.25,Specific Gravity,All Grain,,17.78,American IPA,1.056
107,107,18.93,1.053,1.002,6.69,33.93,5.36,22.71,60,73.0,,Specific Gravity,BIAB,,,Saison,1.044
108,108,39.75,1.075,1.021,7.13,124.98,4.61,43.53,60,70.0,,Specific Gravity,All Grain,,,American IPA,1.051
109,109,21.0,1.069,1.018,6.79,70.28,11.44,26.5,60,72.0,3.0,Specific Gravity,All Grain,0.75,20.0,American IPA,1.055
110,110,21.0,1.078,1.02,7.65,61.99,6.95,28.5,90,70.0,,Specific Gravity,BIAB,0.75,18.3,American IPA,1.058
111,111,11.36,1.042,1.011,3.96,39.39,7.36,15.14,60,65.0,2.285,Specific Gravity,All Grain,0.35,18.89,American Pale Ale,1.031
112,112,39.75,1.0590000000000002,1.016,5.56,172.33,3.87,45.42,60,70.0,,Specific Gravity,All Grain,,18.89,American IPA,1.051
113,113,18.0,1.057,1.014,5.62,57.46,7.19,28.5,60,55.0,3.0,Specific Gravity,All Grain,0.75,20.0,American IPA,1.036
114,114,11.5,1.06,1.011,6.4,56.95,7.08,18.0,60,70.0,3.0,Specific Gravity,All Grain,1.0,23.0,American IPA,1.038
115,115,18.93,1.069,1.017,6.75,58.33,8.37,26.5,60,65.0,1.25,Specific Gravity,All Grain,,19.44,American IPA,1.0490000000000002
116,116,20.82,1.051,1.013,5.0,23.57,23.98,24.61,60,70.0,1.5,Specific Gravity,All Grain,,18.33,American Brown Ale,1.043
117,117,19.0,1.056,1.014,5.54,48.87,16.73,25.0,60,60.0,,Specific Gravity,BIAB,,,Irish Red Ale,1.043
118,118,42.0,1.05,1.008,5.53,44.29,7.29,55.0,90,85.0,,Specific Gravity,All Grain,1.0,18.0,American Pale Ale,1.039
119,119,18.93,1.06,1.016,5.7,40.14,8.63,26.5,60,70.0,1.5,Specific Gravity,All Grain,,,American Pale Ale,1.043
120,120,9.46,1.065,1.016,6.37,0.0,4.82,11.36,60,70.0,,Specific Gravity,Partial Mash,,,American Light Lager,1.054
121,121,18.93,1.068,1.013,7.3,65.02,6.74,28.39,60,75.0,,Specific Gravity,BIAB,1.0,18.06,American IPA,1.046
122,122,15.0,1.056,1.01,6.01,26.43,12.84,17.0,60,60.0,3.0,Specific Gravity,All Grain,0.35,18.0,American Amber Ale,1.0490000000000002
123,123,12.0,1.072,1.018,7.11,63.51,10.1,28.5,180,35.0,3.0,Specific Gravity,All Grain,0.35,25.0,American IPA,1.03
124,124,20.82,1.032,1.008,3.18,0.0,31.94,11.36,60,35.0,,Specific Gravity,extract,,,American Light Lager,1.0590000000000002
125,125,10.0,1.046,1.009,4.9,36.32,5.79,10.0,60,70.0,5.0,Specific Gravity,All Grain,0.5,20.0,American Pale Ale,1.046
126,126,23.0,1.063,1.014,6.37,61.92,6.74,27.0,70,75.0,4.5,Specific Gravity,All Grain,1.0,19.0,American IPA,1.054
127,127,17.0,1.05,1.009,5.33,28.3,6.46,19.5,75,65.0,,Specific Gravity,All Grain,,,Saison,1.044
128,128,39.75,1.061,1.016,5.98,42.98,7.98,49.21,60,75.0,1.5,Specific Gravity,All Grain,,,American Pale Ale,1.05
129,129,18.93,1.078,1.019,7.66,60.73,7.24,13.25,60,75.0,1.5,Specific Gravity,All Grain,0.35,23.89,American IPA,1.111
130,130,13.0,1.042,1.012,3.97,35.32,7.33,14.0,60,62.0,3.0,Specific Gravity,All Grain,,,American Pale Ale,1.039
131,131,18.93,1.07,1.012,7.64,72.24,10.01,15.14,60,60.0,3.25,Specific Gravity,All Grain,0.35,,American IPA,1.087
132,132,22.71,1.0590000000000002,1.013,6.11,64.65,4.29,26.5,60,75.0,1.5,Specific Gravity,All Grain,,,American IPA,1.051
133,133,20.82,1.042,1.011,4.13,19.66,9.52,11.36,60,35.0,,Specific Gravity,Partial Mash,,18.89,American Pale Ale,1.077
134,134,21.0,1.054,1.014,5.24,33.58,7.76,28.5,60,70.0,,Specific Gravity,BIAB,,19.0,American Light Lager,1.04
135,135,20.82,1.0590000000000002,1.016,5.54,71.06,6.69,28.39,60,60.0,1.5,Specific Gravity,All Grain,,,American IPA,1.043
136,136,20.82,1.057,1.015,5.56,36.51,5.26,15.14,60,35.0,,Specific Gravity,extract,0.35,18.33,American Pale Ale,1.079
137,137,22.0,1.048,1.013,4.56,19.76,4.58,30.0,70,70.0,5.0,Specific Gravity,All Grain,0.75,20.0,Witbier,1.035
138,138,20.82,1.048,1.008,5.29,30.22,6.32,24.61,60,78.0,1.25,Specific Gravity,All Grain,,18.33,American Light Lager,1.041
139,139,9.46,1.063,1.018,5.93,100.15,16.5,12.3,60,75.0,,Specific Gravity,All Grain,,,American Brown Ale,1.046
140,140,20.0,1.044,1.013,4.07,24.32,3.41,28.5,90,75.0,5.0,Specific Gravity,All Grain,,75.0,Witbier,1.031
141,141,22.71,1.071,1.02,6.74,70.15,5.57,32.18,60,57.0,1.4,Specific Gravity,All Grain,1.0,18.89,American Pale Ale,1.05
142,142,18.93,1.074,1.011,8.3,102.44,4.86,23.47,60,72.0,1.33,Specific Gravity,All Grain,,20.0,American IPA,1.06
143,143,20.0,1.062,1.016,6.12,59.18,8.58,34.0,60,70.0,3.0,Specific Gravity,All Grain,,,American IPA,1.037
144,144,28.0,1.04,1.007,4.38,44.0,4.63,33.0,60,70.0,2.5,Specific Gravity,All Grain,,18.0,American IPA,1.034
145,145,11.4,1.0590000000000002,1.01,6.42,69.1,7.19,15.0,60,75.0,,Specific Gravity,BIAB,,18.0,American IPA,1.045
146,146,24.61,1.05,1.008,5.52,0.0,3.72,24.61,0,72.0,,Specific Gravity,BIAB,0.75,,Saison,1.05
147,147,20.0,1.05,1.009,5.43,42.38,7.54,8.0,60,35.0,,Specific Gravity,extract,,,American Pale Ale,1.125
148,148,37.85,1.058,1.017,5.42,21.85,9.46,48.26,60,80.0,,Specific Gravity,All Grain,,,American Pale Ale,1.043
149,149,21.0,1.0490000000000002,1.009,5.29,32.87,5.8,28.5,60,70.0,2.5,Specific Gravity,All Grain,0.5,18.0,American Pale Ale,1.036
150,150,10.0,1.047,1.009,5.03,37.64,8.56,6.0,60,35.0,,Specific Gravity,extract,,18.0,American Pale Ale,1.079
151,151,3.79,1.063,1.012,6.69,75.06,6.71,5.68,60,25.0,,Specific Gravity,extract,,17.78,American IPA,1.042
152,152,16.0,1.077,1.015,8.09,59.97,7.1,21.0,90,70.0,3.0,Specific Gravity,All Grain,,,Saison,1.058
153,153,20.82,1.073,1.022,6.68,62.92,50.0,28.39,60,70.0,,Specific Gravity,BIAB,,20.0,American Stout,1.053
154,154,60.0,1.042,1.007,4.52,19.72,3.12,65.0,60,70.0,3.0,Specific Gravity,All Grain,,19.0,American Light Lager,1.038
155,155,28.39,1.06,1.015,5.95,36.25,17.48,35.96,90,70.0,1.6,Specific Gravity,All Grain,,,American Amber Ale,1.047
156,156,20.0,1.053,1.01,5.64,36.67,12.45,28.0,60,70.0,2.8,Specific Gravity,All Grain,,18.0,Irish Red Ale,1.038
157,157,56.78,1.05,1.011,5.06,10.75,5.49,64.35,60,70.0,1.75,Specific Gravity,All Grain,0.75,20.0,Blonde Ale,1.044
158,158,19.87,1.062,1.016,6.14,0.0,12.2,25.55,70,70.0,,Specific Gravity,BIAB,,,American IPA,1.0490000000000002
159,159,4.0,10.9113,2.24594,4.6,24.3,3.98,6.0,90,100.0,,Plato,BIAB,,20.0,Blonde Ale,7.4
160,160,20.82,1.052,1.016,4.68,47.25,9.87,11.36,60,75.0,,Specific Gravity,Partial Mash,0.35,23.33,American Pale Ale,1.095
161,161,25.5,1.054,1.011,5.6,40.46,5.88,28.5,60,72.0,4.0,Specific Gravity,All Grain,,18.0,American Pale Ale,1.048
162,162,41.64,1.055,1.017,4.96,0.0,4.27,49.21,60,70.0,1.5,Specific Gravity,All Grain,,,American Pale Ale,1.046
163,163,128.7,1.072,1.02,6.94,100.95,5.19,151.42,60,72.0,1.5,Specific Gravity,All Grain,,,American IPA,1.062
164,164,18.0,1.045,1.008,4.94,36.96,4.48,25.5,60,60.0,,Specific Gravity,BIAB,,,American Light Lager,1.032
165,165,25.0,1.05,1.013,4.88,36.35,10.41,28.4,90,45.0,,Specific Gravity,BIAB,0.35,19.0,American Pale Ale,1.044
166,166,15.0,1.03,1.005,3.3,20.72,39.77,18.0,60,35.0,3.0,Specific Gravity,All Grain,,,American Brown Ale,1.025
167,167,20.82,1.068,1.012,7.33,90.68,5.02,26.5,70,71.0,1.5,Specific Gravity,All Grain,0.5,20.0,Saison,1.053
168,168,20.82,1.0590000000000002,1.017,5.41,29.78,27.27,24.61,60,70.0,2.0,Specific Gravity,All Grain,0.35,18.33,American Brown Ale,1.05
169,169,20.82,1.047,1.011,4.77,12.0,3.37,28.39,60,70.0,1.5,Specific Gravity,All Grain,0.75,14.44,Blonde Ale,1.035
170,170,14.2,1.062,1.018,5.88,176.49,5.17,16.09,30,80.0,,Specific Gravity,BIAB,,20.0,American IPA,1.055
171,171,20.82,1.058,1.016,5.47,73.57,18.69,28.39,60,70.0,1.33,Specific Gravity,All Grain,0.35,21.11,American IPA,1.042
172,172,18.93,1.054,1.015,5.12,69.44,6.56,20.82,60,35.0,,Specific Gravity,extract,0.5,18.89,American IPA,1.0490000000000002
173,173,18.93,1.068,1.017,6.74,75.2,6.36,13.25,60,35.0,,Specific Gravity,extract,,,American IPA,1.098
174,174,20.82,1.061,1.013,6.18,77.02,7.01,28.39,60,60.0,1.25,Specific Gravity,All Grain,0.35,21.11,American IPA,1.044
175,175,11.36,1.085,1.02,8.49,101.45,6.53,20.82,90,70.0,,Specific Gravity,BIAB,,,Imperial IPA,1.046
176,176,20.82,1.05,1.009,5.4,66.11,7.35,28.39,60,75.0,,Specific Gravity,BIAB,,17.78,American IPA,1.037
177,177,41.64,1.063,1.018,5.92,63.98,9.43,43.53,60,70.0,1.3,Specific Gravity,All Grain,,,American IPA,1.06
178,178,20.82,1.065,1.013,6.8,49.75,10.15,28.39,60,70.0,1.5,Specific Gravity,All Grain,,15.56,American IPA,1.048
179,179,20.82,1.06,1.015,5.89,44.05,15.1,28.39,60,75.0,1.5,Specific Gravity,All Grain,,20.56,American Amber Ale,1.044
180,180,20.82,1.058,1.017,5.29,37.89,6.33,28.39,60,65.0,1.25,Specific Gravity,All Grain,0.35,,Saison,1.037
181,181,28.0,1.063,1.012,6.64,71.99,5.08,28.0,30,35.0,,Specific Gravity,extract,1.25,20.0,Saison,1.063
182,182,21.0,1.052,1.01,5.46,30.1,5.86,28.5,60,73.0,,Specific Gravity,BIAB,1.0,20.0,American Pale Ale,1.038
183,183,20.82,1.074,1.021,6.99,74.06,11.9,28.39,60,70.0,,Specific Gravity,All Grain,0.35,18.33,American IPA,1.051
184,184,21.0,1.057,1.012,5.9,52.52,8.39,32.0,60,70.0,3.4,Specific Gravity,All Grain,0.5,16.0,American Pale Ale,1.037
185,185,21.0,1.058,1.015,5.71,75.53,8.92,28.5,60,70.0,,Specific Gravity,BIAB,,,American Light Lager,1.043
186,186,20.82,1.0759999999999998,1.018,7.6,259.93,7.16,32.71,90,70.0,,Specific Gravity,BIAB,0.5,20.0,Imperial IPA,1.048
187,187,22.0,1.043,1.008,4.53,56.03,5.01,25.5,60,70.0,2.7,Specific Gravity,All Grain,0.35,19.0,American IPA,1.037
188,188,20.82,1.0590000000000002,1.016,5.67,26.23,17.59,28.39,60,70.0,,Specific Gravity,All Grain,1.0,20.0,Irish Red Ale,1.043
189,189,18.93,1.06,1.014,6.02,52.7,6.64,28.39,60,65.0,1.5,Specific Gravity,All Grain,,,American IPA,1.04
190,190,20.82,1.0659999999999998,1.017,6.5,0.0,4.85,23.66,60,82.0,1.5,Specific Gravity,All Grain,,,American Light Lager,1.058
191,191,18.93,1.0659999999999998,1.016,6.62,0.0,8.56,28.39,60,70.0,1.2,Specific Gravity,All Grain,0.35,,American Pale Ale,1.044
192,192,1173.48,1.0490000000000002,1.013,4.69,12.29,4.83,1358.96,60,74.0,1.5,Specific Gravity,All Grain,,,Witbier,1.042
193,193,21.0,1.074,1.014,7.83,51.33,6.91,28.0,60,70.0,,Specific Gravity,BIAB,,,American IPA,1.055
194,194,18.93,1.067,1.017,6.55,62.39,7.71,26.5,45,70.0,,Specific Gravity,extract,,18.33,American IPA,1.048
195,195,20.82,1.043,1.008,4.55,45.84,5.78,26.91,60,70.0,,Specific Gravity,BIAB,0.35,18.33,American Pale Ale,1.033
196,196,20.0,1.0490000000000002,1.008,5.38,47.74,5.99,15.0,60,60.0,3.0,Specific Gravity,All Grain,,19.0,American Pale Ale,1.065
