Id,Style
242,Irish Red Ale
243,American IPA
244,American Amber Ale
245,Saison
246,American Stout
247,American Pale Ale
248,Saison
249,Blonde Ale
250,American Pale Ale
251,Imperial IPA
252,Blonde Ale
253,American Pale Ale
254,American IPA
255,American Stout
256,American IPA
257,Blonde Ale
258,Saison
259,American IPA
260,Irish Red Ale
261,American Light Lager
262,American IPA
263,American IPA
264,American IPA
265,Irish Red Ale
266,American Pale Ale
267,American Brown Ale
268,American IPA
269,Saison
270,American Brown Ale
271,American IPA
272,Saison
273,American IPA
274,American Light Lager
275,American Amber Ale
276,American IPA
277,American Brown Ale
278,American Stout
279,American Pale Ale
280,American IPA
281,Saison
282,American Pale Ale
283,American Amber Ale
284,American IPA
285,American IPA
286,Blonde Ale
287,American Pale Ale
288,American IPA
289,American Stout
290,American Light Lager
291,American IPA
292,American IPA
293,Imperial IPA
294,American IPA
295,American Light Lager
296,Imperial IPA
297,American Amber Ale
298,Saison
299,Blonde Ale
300,American IPA
301,American Pale Ale
302,American Pale Ale
303,American IPA
304,American Pale Ale
305,American Pale Ale
306,American Brown Ale
307,American Brown Ale
308,Imperial IPA
309,American Pale Ale
310,Blonde Ale
311,American Pale Ale
312,American IPA
313,Blonde Ale
314,American Pale Ale
315,American IPA
316,American IPA
317,Imperial IPA
318,American Light Lager
319,American IPA
320,American Pale Ale
321,American Stout
322,Witbier
323,American Stout
324,American IPA
325,American IPA
326,American Light Lager
327,American Pale Ale
328,American Light Lager
329,American Pale Ale
330,American IPA
331,American Stout
332,Witbier
333,American IPA
334,American Pale Ale
335,American Pale Ale
336,American IPA
337,American Pale Ale
338,Saison
339,American IPA
340,American IPA
341,American Pale Ale
342,American Light Lager
343,American IPA
344,American IPA
345,American IPA
346,American IPA
347,Imperial IPA
348,American Pale Ale
349,American Light Lager
350,American Pale Ale
351,American Pale Ale
352,Saison
353,Irish Red Ale
354,American Pale Ale
355,Irish Red Ale
356,American IPA
357,American IPA
358,American Pale Ale
359,American Pale Ale
360,American IPA
361,American IPA
362,Witbier
363,American IPA
364,American Pale Ale
365,American Pale Ale
366,Saison
367,American Light Lager
368,American Pale Ale
369,American Light Lager
370,American Pale Ale
371,American IPA
372,American IPA
373,American Pale Ale
374,American IPA
375,American Pale Ale
376,Saison
377,American IPA
378,American IPA
379,American IPA
380,American Amber Ale
381,American IPA
382,American IPA
383,Imperial IPA
384,American Pale Ale
385,Saison
386,American IPA
387,American IPA
388,American Light Lager
389,Irish Red Ale
390,Blonde Ale
391,American IPA
392,American IPA
393,American Amber Ale
394,American Pale Ale
395,American Pale Ale
396,American Pale Ale
397,Blonde Ale
398,American Pale Ale
399,American Pale Ale
400,American IPA
401,American Pale Ale
402,Saison
403,American Light Lager
404,American IPA
405,Blonde Ale
406,American IPA
407,American Brown Ale
408,Irish Red Ale
409,American IPA
410,American Pale Ale
411,American IPA
412,American Pale Ale
413,Saison
414,American Pale Ale
415,American Light Lager
416,Witbier
417,American Pale Ale
418,American IPA
419,American Amber Ale
420,American IPA
421,American IPA
422,American Pale Ale
423,American Pale Ale
424,American IPA
425,Blonde Ale
426,Blonde Ale
427,Blonde Ale
428,American IPA
429,American IPA
430,American Pale Ale
431,Blonde Ale
432,American IPA
433,Saison
434,American Stout
435,American IPA
436,Blonde Ale
437,American Amber Ale
438,American Stout
439,American IPA
440,American Light Lager
441,Irish Red Ale
442,Saison
443,Witbier
444,Blonde Ale
445,American Amber Ale
446,Blonde Ale
447,American Amber Ale
448,American Pale Ale
449,American IPA
450,American Pale Ale
451,American IPA
452,American IPA
453,Imperial IPA
454,American Pale Ale
455,American IPA
456,American IPA
457,American Pale Ale
458,American IPA
459,Blonde Ale
460,American Pale Ale
461,American IPA
462,American IPA
463,American Pale Ale
464,American IPA
465,American Brown Ale
466,American IPA
467,American Amber Ale
468,American Stout
469,Imperial IPA
470,American IPA
471,Saison
472,American IPA
473,Saison
474,American Amber Ale
475,American Pale Ale
476,Saison
477,American IPA
478,American Pale Ale
479,American IPA
480,Imperial IPA
481,American Pale Ale
482,Blonde Ale
483,American Amber Ale
484,Witbier
485,American Pale Ale
486,American Pale Ale
487,American Light Lager
488,American IPA
489,American Stout
490,Blonde Ale
491,Irish Red Ale
492,American IPA
493,American Stout
494,American Pale Ale
495,American Pale Ale
496,American IPA
497,Imperial IPA
498,Blonde Ale
499,American IPA
500,American Pale Ale
501,American IPA
502,American Pale Ale
503,American Pale Ale
504,American Stout
505,American IPA
506,American IPA
507,Imperial IPA
508,American IPA
509,American IPA
510,American Amber Ale
511,Imperial IPA
512,American Brown Ale
513,Imperial IPA
514,American Pale Ale
515,American IPA
516,Blonde Ale
517,American Stout
518,American IPA
519,Irish Red Ale
520,American IPA
521,American Brown Ale
522,American Pale Ale
523,American Pale Ale
524,American IPA
525,American Amber Ale
526,Witbier
527,American Pale Ale
528,American IPA
529,American Stout
530,American Pale Ale
531,American Pale Ale
532,Blonde Ale
533,American Pale Ale
534,American IPA
535,American Light Lager
536,American IPA
537,American Amber Ale
538,American Pale Ale
539,Imperial IPA
540,American Pale Ale
541,American Pale Ale
542,American IPA
543,Saison
544,Imperial IPA
545,Saison
546,American IPA
547,American Amber Ale
548,American Amber Ale
549,Saison
550,Saison
551,American Amber Ale
552,Witbier
553,American IPA
554,American Pale Ale
555,American Amber Ale
556,American IPA
557,American IPA
558,American IPA
559,American Brown Ale
560,American Pale Ale
561,American IPA
562,American Pale Ale
563,American IPA
564,American Pale Ale
565,American IPA
566,Saison
567,Blonde Ale
568,Imperial IPA
569,American Light Lager
570,American Pale Ale
571,American Amber Ale
572,American Pale Ale
573,American Stout
574,American Light Lager
575,American IPA
576,American IPA
577,American Pale Ale
578,American Light Lager
579,American Pale Ale
580,Irish Red Ale
581,Saison
582,American Light Lager
583,American Pale Ale
584,American IPA
585,American Pale Ale
586,Blonde Ale
587,American Amber Ale
588,American Light Lager
589,American Pale Ale
590,American Amber Ale
591,American IPA
592,American IPA
593,Blonde Ale
594,American IPA
595,American Pale Ale
596,Blonde Ale
597,American Brown Ale
598,American IPA
599,American Pale Ale
600,American Pale Ale
601,American Pale Ale
602,American Light Lager
603,American Pale Ale
604,American IPA
605,Irish Red Ale
606,American Pale Ale
607,American IPA
608,Blonde Ale
609,Imperial IPA
610,American IPA
611,American Stout
612,American IPA
613,American Pale Ale
614,American Amber Ale
615,American IPA
616,American Amber Ale
617,American Pale Ale
618,American Pale Ale
619,American Light Lager
620,American Pale Ale
621,American IPA
622,American IPA
623,American Pale Ale
624,American IPA
625,American IPA
626,American Pale Ale
627,American Pale Ale
628,American Pale Ale
629,American Amber Ale
630,Saison
631,American IPA
632,American IPA
633,American Light Lager
634,Blonde Ale
635,American Pale Ale
636,Blonde Ale
637,American Pale Ale
638,Saison
639,American Light Lager
640,American Pale Ale
641,American Pale Ale
642,American Pale Ale
643,American Pale Ale
644,American Pale Ale
645,Witbier
646,American Amber Ale
647,American Brown Ale
648,American IPA
649,American IPA
650,American IPA
651,American Pale Ale
652,American Pale Ale
653,American Light Lager
654,American IPA
655,American IPA
656,American Pale Ale
657,American IPA
658,American IPA
659,Saison
660,Irish Red Ale
661,American Amber Ale
662,American Pale Ale
663,American Amber Ale
664,American IPA
665,American Stout
666,American Pale Ale
667,Blonde Ale
668,Saison
669,Blonde Ale
670,Witbier
671,Blonde Ale
672,American Amber Ale
673,American IPA
674,American IPA
675,American IPA
676,American Pale Ale
677,American IPA
678,American Amber Ale
679,American Pale Ale
680,American IPA
681,American Pale Ale
682,Saison
683,Irish Red Ale
684,American Stout
685,American Pale Ale
686,Saison
687,American Brown Ale
688,American IPA
689,American IPA
690,American IPA
691,American Light Lager
692,Saison
693,American IPA
694,American IPA
695,Witbier
696,American Amber Ale
697,American IPA
698,American Amber Ale
699,American Pale Ale
700,American IPA
701,American Pale Ale
702,American IPA
703,American Light Lager
704,American IPA
705,American IPA
706,American Stout
707,Imperial IPA
708,American IPA
709,American Stout
710,American Amber Ale
711,American Stout
712,Saison
713,American IPA
714,American IPA
715,Saison
716,American IPA
717,American Light Lager
718,American IPA
719,American IPA
720,Witbier
721,American Amber Ale
722,American IPA
723,American IPA
724,American IPA
725,Blonde Ale
726,American IPA
727,American Pale Ale
728,American IPA
729,American Brown Ale
730,Blonde Ale
731,Saison
732,Witbier
733,American IPA
734,American IPA
735,American Pale Ale
736,American Pale Ale
737,American Pale Ale
738,Imperial IPA
739,American IPA
740,American Pale Ale
741,American Brown Ale
742,American Stout
743,American IPA
744,American IPA
745,American Pale Ale
746,American IPA
747,American Pale Ale
748,American Stout
749,American Pale Ale
750,American Light Lager
751,American IPA
752,American Pale Ale
753,Imperial IPA
754,Saison
755,American Light Lager
756,American IPA
757,Imperial IPA
758,American IPA
759,Blonde Ale
760,Blonde Ale
761,American IPA
762,American IPA
763,American IPA
764,American Pale Ale
765,Saison
766,Saison
767,American IPA
768,American Pale Ale
769,Imperial IPA
770,Blonde Ale
771,American IPA
772,Imperial IPA
773,American IPA
774,American Stout
775,Saison
776,American IPA
777,American IPA
778,American Amber Ale
779,Irish Red Ale
780,American IPA
781,American IPA
782,American Brown Ale
783,American Pale Ale
784,American Pale Ale
785,Saison
786,American Amber Ale
787,Saison
788,American IPA
789,American Pale Ale
790,American Pale Ale
791,American Pale Ale
792,Saison
793,American Light Lager
794,American IPA
795,American Brown Ale
796,American Amber Ale
797,American Pale Ale
798,American Pale Ale
799,Witbier
800,American Pale Ale
801,Irish Red Ale
802,American IPA
803,American Stout
804,American Light Lager
805,American Stout
806,American IPA
807,American Pale Ale
808,American Stout
809,Blonde Ale
810,American Light Lager
811,American Amber Ale
812,American IPA
813,American Pale Ale
814,American IPA
815,American IPA
816,American Brown Ale
817,American Stout
818,American Pale Ale
819,Imperial IPA
820,Witbier
821,American IPA
822,American Stout
823,American IPA
824,American IPA
825,American IPA
826,Witbier
827,American Amber Ale
828,Blonde Ale
829,American IPA
830,Blonde Ale
831,Saison
832,American IPA
833,American IPA
834,Blonde Ale
835,American IPA
836,American Amber Ale
837,American Amber Ale
838,American IPA
839,American IPA
840,Saison
841,American IPA
842,American IPA
843,Saison
844,Imperial IPA
845,American Pale Ale
846,American Pale Ale
847,American Light Lager
848,American IPA
849,Saison
850,American Pale Ale
851,American Light Lager
852,Witbier
853,American Light Lager
854,American IPA
855,Blonde Ale
856,American Pale Ale
857,American IPA
858,American Light Lager
859,American IPA
860,Irish Red Ale
861,American Light Lager
862,Witbier
863,American Pale Ale
864,American Amber Ale
865,American Amber Ale
866,American Pale Ale
867,American IPA
868,Imperial IPA
869,American Stout
870,American Amber Ale
871,American Pale Ale
872,American IPA
873,Imperial IPA
874,American IPA
875,American IPA
876,American IPA
877,American Light Lager
878,Saison
879,American IPA
880,American IPA
881,American Light Lager
882,American IPA
883,Blonde Ale
884,American Stout
885,American Pale Ale
886,American Amber Ale
887,Saison
888,American Light Lager
889,American Pale Ale
890,American IPA
891,American Brown Ale
892,American Pale Ale
893,American IPA
894,Saison
895,Saison
896,American IPA
897,Irish Red Ale
898,American IPA
899,Saison
900,American Stout
901,Imperial IPA
902,Imperial IPA
903,Saison
904,American Pale Ale
905,Imperial IPA
906,American Light Lager
907,American Pale Ale
908,American IPA
909,American Brown Ale
910,Imperial IPA
911,Irish Red Ale
912,American Pale Ale
913,American Brown Ale
914,Witbier
915,American IPA
916,American Light Lager
917,American Pale Ale
918,American Stout
919,American Light Lager
920,Saison
921,Imperial IPA
922,American IPA
923,American Pale Ale
924,American Pale Ale
925,American Pale Ale
926,Imperial IPA
927,American Pale Ale
928,American Pale Ale
929,Imperial IPA
930,American Light Lager
931,American Amber Ale
932,American Light Lager
933,Witbier
934,Witbier
935,American IPA
936,Saison
937,American Brown Ale
938,American Pale Ale
939,American IPA
940,Blonde Ale
941,American Light Lager
942,Saison
943,American Light Lager
944,American Pale Ale
945,Saison
946,American Amber Ale
947,American Pale Ale
948,Blonde Ale
949,American Light Lager
950,American Amber Ale
951,American IPA
952,American Pale Ale
953,American IPA
954,American IPA
955,American IPA
956,American IPA
957,American IPA
958,American Pale Ale
959,American Pale Ale
960,Blonde Ale
961,American Pale Ale
962,American IPA
963,American IPA
964,American Amber Ale
965,Imperial IPA
966,American IPA
967,American IPA
968,American IPA
969,Saison
970,American Amber Ale
971,American Pale Ale
972,Blonde Ale
973,American IPA
974,American IPA
975,Witbier
976,American IPA
977,American IPA
978,American IPA
979,American IPA
980,Blonde Ale
981,Saison
982,American Stout
983,American Pale Ale
984,Blonde Ale
985,American IPA
986,American Brown Ale
987,American Amber Ale
988,American Pale Ale
989,American Pale Ale
990,American IPA
991,Irish Red Ale
992,Saison
993,Blonde Ale
994,American Pale Ale
995,Blonde Ale
996,American IPA
997,American Stout
998,American Light Lager
999,American Stout
1000,American IPA
1001,American Amber Ale
1002,American IPA
1003,American Pale Ale
1004,American Pale Ale
1005,American IPA
1006,American Pale Ale
1007,Blonde Ale
1008,American IPA
1009,American Pale Ale
1010,American IPA
1011,American Pale Ale
1012,American IPA
1013,Irish Red Ale
1014,American Light Lager
1015,Saison
1016,American IPA
1017,American IPA
1018,American Stout
1019,American Pale Ale
1020,American Amber Ale
1021,American Light Lager
1022,American Pale Ale
1023,Saison
1024,American IPA
1025,American Pale Ale
1026,American IPA
1027,American Light Lager
1028,American Pale Ale
1029,American IPA
1030,American IPA
1031,American Pale Ale
1032,American IPA
1033,American IPA
1034,American IPA
1035,American IPA
1036,Blonde Ale
1037,American Stout
1038,American Amber Ale
1039,American IPA
1040,American IPA
1041,American Pale Ale
1042,American IPA
1043,American Pale Ale
1044,American Pale Ale
1045,American Amber Ale
1046,Blonde Ale
1047,American Pale Ale
1048,American IPA
1049,Imperial IPA
1050,American IPA
1051,Irish Red Ale
1052,American IPA
1053,American Pale Ale
1054,American IPA
1055,American Pale Ale
1056,Blonde Ale
1057,American IPA
1058,Saison
1059,Witbier
1060,American Light Lager
1061,American Pale Ale
1062,American IPA
1063,American Light Lager
1064,Blonde Ale
1065,Witbier
1066,Saison
1067,American IPA
1068,American Pale Ale
1069,Witbier
1070,American IPA
1071,American Pale Ale
1072,American IPA
1073,American Pale Ale
1074,American IPA
1075,American Pale Ale
1076,American Stout
1077,American Stout
1078,Blonde Ale
1079,American Pale Ale
1080,Blonde Ale
1081,Imperial IPA
1082,American Pale Ale
1083,American Amber Ale
1084,American IPA
1085,American IPA
1086,American IPA
1087,American IPA
1088,American Light Lager
1089,American IPA
1090,Imperial IPA
1091,American Pale Ale
1092,American Light Lager
1093,American Light Lager
1094,Saison
1095,American Light Lager
1096,American Light Lager
1097,American Pale Ale
1098,American Amber Ale
1099,Blonde Ale
1100,American IPA
1101,American Light Lager
1102,American Brown Ale
1103,American IPA
1104,American IPA
1105,American IPA
1106,American IPA
1107,American Amber Ale
1108,American Light Lager
1109,American IPA
1110,American IPA
1111,American IPA
1112,Irish Red Ale
1113,American Pale Ale
1114,American Amber Ale
1115,American IPA
1116,Blonde Ale
1117,Witbier
1118,American Light Lager
1119,Saison
1120,American IPA
1121,American Amber Ale
1122,American Pale Ale
1123,American Light Lager
1124,American IPA
1125,Irish Red Ale
1126,American IPA
1127,American Light Lager
1128,Blonde Ale
1129,American IPA
1130,Blonde Ale
1131,American IPA
1132,Saison
1133,Imperial IPA
1134,American IPA
1135,American Amber Ale
1136,American IPA
1137,American Pale Ale
1138,Irish Red Ale
1139,American Pale Ale
1140,American Stout
1141,American Pale Ale
1142,Blonde Ale
1143,American Brown Ale
1144,American IPA
1145,American Pale Ale
1146,Saison
1147,American IPA
1148,American Light Lager
1149,Witbier
1150,American Amber Ale
1151,American IPA
1152,Blonde Ale
1153,American Brown Ale
1154,American IPA
1155,American IPA
1156,American IPA
1157,American IPA
1158,American Light Lager
1159,American IPA
1160,Saison
1161,Blonde Ale
1162,American Pale Ale
1163,American Pale Ale
1164,American IPA
1165,American Pale Ale
1166,American Light Lager
1167,Blonde Ale
1168,Imperial IPA
1169,American IPA
1170,American IPA
1171,American Pale Ale
1172,Witbier
1173,Saison
1174,American Light Lager
1175,American Pale Ale
1176,American IPA
1177,American Light Lager
1178,Imperial IPA
1179,American Pale Ale
1180,American Brown Ale
1181,American IPA
1182,American IPA
1183,American Light Lager
1184,American IPA
1185,American Light Lager
1186,Blonde Ale
1187,American IPA
1188,American Pale Ale
1189,Imperial IPA
1190,Witbier
1191,American IPA
1192,American IPA
1193,American IPA
1194,American IPA
1195,American IPA
1196,American Pale Ale
1197,American Amber Ale
1198,Blonde Ale
1199,American Pale Ale
1200,American Pale Ale
1201,American IPA
1202,Saison
1203,American Amber Ale
1204,American Pale Ale
1205,American Stout
1206,American IPA
1207,American Pale Ale
1208,American Pale Ale
1209,American IPA
1210,American IPA
1211,American Stout
1212,American Pale Ale
1213,American Amber Ale
1214,Irish Red Ale
1215,American IPA
1216,American Pale Ale
1217,American Stout
1218,American IPA
1219,Imperial IPA
1220,American IPA
1221,American IPA
1222,American IPA
1223,American Pale Ale
1224,Blonde Ale
1225,American Pale Ale
1226,American IPA
1227,American Pale Ale
1228,American Pale Ale
1229,Imperial IPA
1230,American IPA
1231,American IPA
1232,American IPA
1233,American IPA
1234,American IPA
1235,Saison
1236,American Pale Ale
1237,Blonde Ale
1238,American IPA
1239,American IPA
1240,American IPA
1241,American IPA
1242,American Pale Ale
1243,American Light Lager
1244,American Pale Ale
1245,American IPA
1246,American IPA
1247,American IPA
1248,American IPA
1249,American IPA
1250,American IPA
1251,American Pale Ale
1252,American IPA
1253,American IPA
1254,American Stout
1255,Blonde Ale
1256,Witbier
1257,American IPA
1258,Imperial IPA
1259,American IPA
1260,American IPA
1261,American Pale Ale
1262,American IPA
1263,American Light Lager
1264,Imperial IPA
1265,American IPA
1266,American IPA
1267,Saison
1268,American IPA
1269,American IPA
1270,American Pale Ale
1271,Imperial IPA
1272,American IPA
1273,American Stout
1274,American IPA
1275,Blonde Ale
1276,American Pale Ale
1277,Blonde Ale
1278,American IPA
1279,Saison
1280,Imperial IPA
1281,American IPA
1282,American Light Lager
1283,American Pale Ale
1284,American IPA
1285,American Pale Ale
1286,American Stout
1287,American Pale Ale
1288,American IPA
1289,American Stout
1290,American IPA
1291,American Stout
1292,Saison
1293,American Pale Ale
1294,American IPA
1295,American Pale Ale
1296,American Pale Ale
1297,American Pale Ale
1298,American IPA
1299,American Pale Ale
1300,American IPA
1301,American IPA
1302,American IPA
1303,American IPA
1304,Imperial IPA
1305,American IPA
1306,American Pale Ale
1307,American IPA
1308,American Pale Ale
1309,Saison
1310,American Light Lager
1311,American Amber Ale
1312,American Pale Ale
1313,American IPA
1314,Blonde Ale
1315,American IPA
1316,American IPA
1317,American IPA
1318,American Pale Ale
1319,American IPA
1320,American Pale Ale
1321,American Amber Ale
1322,American IPA
1323,Saison
1324,American IPA
1325,American IPA
1326,American Light Lager
1327,American Pale Ale
1328,American Pale Ale
1329,American Amber Ale
1330,American IPA
1331,American Pale Ale
1332,Saison
1333,American Amber Ale
1334,American IPA
1335,American IPA
1336,American Pale Ale
1337,American Stout
1338,American IPA
1339,American IPA
1340,Imperial IPA
1341,American IPA
1342,American IPA
1343,American IPA
1344,American Pale Ale
1345,Saison
1346,Imperial IPA
1347,Irish Red Ale
1348,American IPA
1349,Imperial IPA
1350,American Stout
1351,American Light Lager
1352,American Amber Ale
1353,American IPA
1354,American Light Lager
1355,American IPA
1356,American IPA
1357,American IPA
1358,American Pale Ale
1359,American IPA
1360,Saison
1361,Witbier
1362,American Light Lager
1363,American IPA
1364,American Pale Ale
1365,American Pale Ale
1366,American Pale Ale
1367,American Pale Ale
1368,American Pale Ale
1369,Irish Red Ale
1370,Saison
1371,American Stout
1372,American IPA
1373,American IPA
1374,American Light Lager
1375,American Stout
1376,American IPA
1377,American Pale Ale
1378,American IPA
1379,American Pale Ale
1380,Saison
1381,American Amber Ale
1382,Blonde Ale
1383,Blonde Ale
1384,American IPA
1385,Saison
1386,American Pale Ale
1387,American Stout
1388,American Brown Ale
1389,Irish Red Ale
1390,American Pale Ale
1391,American Pale Ale
1392,American Pale Ale
1393,American IPA
1394,Blonde Ale
1395,American IPA
1396,American Pale Ale
1397,American Pale Ale
1398,American IPA
1399,Blonde Ale
1400,Witbier
1401,Imperial IPA
1402,Imperial IPA
1403,Blonde Ale
1404,American Pale Ale
1405,American IPA
1406,American Stout
1407,American Pale Ale
1408,American IPA
1409,American Amber Ale
1410,American IPA
1411,American IPA
1412,American IPA
1413,American Pale Ale
1414,Imperial IPA
1415,American Light Lager
1416,American IPA
1417,Saison
1418,American Pale Ale
1419,American Pale Ale
1420,American IPA
1421,American IPA
1422,American Amber Ale
1423,American Light Lager
1424,American Amber Ale
1425,American IPA
1426,American IPA
1427,American IPA
1428,American Light Lager
1429,American IPA
1430,American Pale Ale
1431,American IPA
1432,Blonde Ale
1433,American Stout
1434,American IPA
1435,American IPA
1436,American Pale Ale
1437,American Pale Ale
1438,Saison
1439,Imperial IPA
1440,American IPA
1441,Imperial IPA
1442,American IPA
1443,American Pale Ale
1444,American IPA
1445,Imperial IPA
1446,American IPA
1447,Saison
1448,American Pale Ale
1449,American IPA
1450,American IPA
1451,American IPA
1452,American Stout
1453,American IPA
1454,American IPA
1455,Witbier
1456,American Light Lager
1457,American IPA
1458,American Stout
1459,Blonde Ale
1460,American Pale Ale
1461,American Pale Ale
1462,Imperial IPA
1463,American IPA
1464,American Light Lager
1465,American Pale Ale
1466,Blonde Ale
1467,American Pale Ale
1468,American Light Lager
1469,American IPA
1470,American IPA
1471,American IPA
1472,American Pale Ale
1473,American IPA
1474,Imperial IPA
1475,American Amber Ale
1476,American IPA
1477,Witbier
1478,American Light Lager
1479,American IPA
1480,American IPA
1481,American IPA
1482,American IPA
1483,American IPA
1484,American Pale Ale
1485,Imperial IPA
1486,American Pale Ale
1487,American Pale Ale
1488,American IPA
1489,American Amber Ale
1490,American IPA
1491,Blonde Ale
1492,Imperial IPA
1493,American IPA
1494,American Pale Ale
1495,American Pale Ale
1496,American Pale Ale
1497,American Brown Ale
1498,American Light Lager
1499,American IPA
1500,American Pale Ale
1501,American Amber Ale
1502,Saison
1503,American IPA
1504,American IPA
1505,American Pale Ale
1506,Irish Red Ale
1507,Blonde Ale
1508,American Pale Ale
1509,American Pale Ale
1510,American Light Lager
1511,American Pale Ale
1512,American Light Lager
1513,American Brown Ale
1514,American IPA
1515,American IPA
1516,American IPA
1517,American Pale Ale
1518,American Pale Ale
1519,American Brown Ale
1520,American Pale Ale
1521,American Light Lager
1522,American IPA
1523,Irish Red Ale
1524,American Pale Ale
1525,American Pale Ale
1526,American IPA
1527,Blonde Ale
1528,Saison
1529,American Pale Ale
1530,American Amber Ale
1531,American IPA
1532,American IPA
1533,American IPA
1534,American IPA
1535,American IPA
1536,American IPA
1537,American Amber Ale
1538,Irish Red Ale
1539,Blonde Ale
1540,American Pale Ale
1541,American Pale Ale
1542,American Pale Ale
1543,Saison
1544,Saison
1545,Saison
1546,American Amber Ale
1547,Blonde Ale
1548,American IPA
1549,Saison
1550,Blonde Ale
1551,American IPA
1552,American Stout
1553,American IPA
1554,American IPA
1555,Saison
1556,American Stout
1557,American Stout
1558,American IPA
1559,American IPA
1560,American IPA
1561,American Pale Ale
1562,American Pale Ale
1563,Saison
1564,Imperial IPA
1565,American Pale Ale
1566,Saison
1567,American IPA
1568,American IPA
1569,American Pale Ale
1570,Saison
1571,American Brown Ale
1572,American Pale Ale
1573,American Pale Ale
1574,Saison
1575,American Pale Ale
1576,American Pale Ale
1577,American IPA
1578,American IPA
1579,American IPA
1580,American Stout
1581,American Amber Ale
1582,American Pale Ale
1583,Witbier
1584,American Pale Ale
1585,Imperial IPA
1586,American IPA
1587,American Stout
1588,American Pale Ale
1589,Saison
